Seed,N,Subset_Key,Split_Number,Repeat,Fold,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Fold_SHA256
4526,32,S4526_N32,13,4,1,24,8,12,12,4,4,3782683ecee3faedf1b5f70bf6e568fbd7b656fc51eb3b835dbfa60663e75aa6
4526,32,S4526_N32,14,4,2,24,8,12,12,4,4,16bb1f7579d4598715587661b7e33e144f4c8c91e96d2dc391250c3f4601f46e
4526,32,S4526_N32,15,4,3,24,8,12,12,4,4,8677f1b3d9cdd24a1f1325abdfd7f60f73c6169466a10de622ea825c674a5f0e
4526,32,S4526_N32,16,4,4,24,8,12,12,4,4,4883474aa38a630a870f80a9bee74bc9d6f0f87a945ca54dc604569e4d3ad047
4526,32,S4526_N32,17,5,1,24,8,12,12,4,4,39d93cfc10e8b8c81fe61dde5205e89ee8d03a34f2838dc647635cc20e1dbbbd
4526,32,S4526_N32,18,5,2,24,8,12,12,4,4,2a53ca41e36e3c9bfd2da7a19836cb0ed59c06f26649ab7a41ccff587fbbd7a5
4526,32,S4526_N32,19,5,3,24,8,12,12,4,4,76ab9ebd3c739f63102a0547677dade974c81cdb35c46e8e96d77bbf3a3e1465
4526,32,S4526_N32,20,5,4,24,8,12,12,4,4,17b72c7f75c85682e5c8e1424a20e65e5c9685eac7abb6ff64f3c7ae46b0c395
4526,64,S4526_N64,1,1,1,48,16,24,24,8,8,2f3380469db240c72ea7324085de2813494ba11d0b93a984e36a4093c7b48d95
4526,64,S4526_N64,2,1,2,48,16,24,24,8,8,67a9fac6f764435f16907c748344876b683eb2610ef0715a8c7934ba4a0929c0
4526,64,S4526_N64,3,1,3,48,16,24,24,8,8,439f9ff95d6293252dfbdb0078a61fa6c618c91a31358aee2c3a9a2c882e5681
4526,64,S4526_N64,4,1,4,48,16,24,24,8,8,870c1f23854feba497103a00692b7ebc8127d739563cf55a96a9a40da1df1c2e
4526,64,S4526_N64,5,2,1,48,16,24,24,8,8,9f10a22341f13faa7b771ca76cf9c6f44fcac4c30552207b5525b4db2f024778
4526,64,S4526_N64,6,2,2,48,16,24,24,8,8,852e54aec22e7d390a634fbd9d91651c901f2af6435410338e80c879590b13a1
4526,64,S4526_N64,7,2,3,48,16,24,24,8,8,520c0f0193d8c90cab625690a9ce29492023956d37d561472adb20a38acbd11f
4526,64,S4526_N64,8,2,4,48,16,24,24,8,8,1546d5925cad444d06ef296cfae8c035dafaa245edcf0052c3e2bc79f514df43
4526,64,S4526_N64,9,3,1,48,16,24,24,8,8,ba64673b31b577beade3042cd5e348e7d33f77b5e928d27c5b8b8053016a5fd2
4526,64,S4526_N64,10,3,2,48,16,24,24,8,8,e3135a22d60297d562618c6db781d9d10e64e8557dbdd83c07cd28ba64bc3c25
4526,64,S4526_N64,11,3,3,48,16,24,24,8,8,655c19b5c8b3582b22810d36f805972bb6207aa18868f74722da3519e7e802ec
4526,64,S4526_N64,12,3,4,48,16,24,24,8,8,a70a3e60e73fa0858f0c8fd0e3e353d09f14651acea8b2a823ff4e0f440780fa
4526,64,S4526_N64,13,4,1,48,16,24,24,8,8,73206624945484178d7577de01610399432cdc5a2bb5ad70fcc3bec649958c42
4526,64,S4526_N64,14,4,2,48,16,24,24,8,8,c51eaad8cbb36ffd7164185ac164bd9cb0307d6a93c5cce094f7a1449bbda084
4526,64,S4526_N64,15,4,3,48,16,24,24,8,8,192b262e03672a6fbb1d15a87fa966ce9c073359e686af2650a1a3b1f2cddff8
