Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4541,16,ZZ_Linear,0.4,-0.21547005383792514,0.37666666666666665,,0.35,0.45,0.65,12.0,0.21050974738085065,13.4048309703134
4541,32,Custom_Domain,0.4625,-0.09166396076040402,0.32751443001443004,0.365625,0.575,0.35,0.425,23.85,0.02231203667527755,360.1434749550732
4541,32,Pauli_Z_YY,0.55,0.1243989876793666,0.5181746031746032,0.471875,0.5875,0.5125,0.4125,23.8,0.02453859348480075,177.55428183050978
4541,32,SVM_RBF_Fixed,0.46875,-0.06841723589627158,0.46765873015873016,0.434375,0.45,0.4875,0.55,23.45,,
4541,32,Separable_Control,0.48125,-0.03954972243679027,0.42429653679653684,0.434375,0.5,0.4625,0.5,23.7,0.0108233976875504,1071.952565992066
4541,32,ZZ_Linear,0.50625,0.01982508243160453,0.5172619047619047,0.48125,0.4625,0.55,0.5375,23.65,0.025764321890128,183.81689392498004
4541,64,Custom_Domain,0.61875,0.25187080871280365,0.5811380750312638,0.6796875,0.70625,0.53125,0.29375,44.5,0.0047857949779123,2951.9433496663833
4541,64,Pauli_Z_YY,0.5375,0.07782333608240607,0.541320306370616,0.58828125,0.5125,0.5625,0.4875,45.5,0.00423489970427905,1833.4592472527504
4541,64,SVM_RBF_Fixed,0.58125,0.16655364660397226,0.5495613373554551,0.62109375,0.61875,0.54375,0.38125,44.85,,
4541,64,Separable_Control,0.584375,0.17012941117764005,0.5737649837262839,0.6109375,0.59375,0.575,0.40625,43.45,0.00146335355862145,15665.358518262521
4541,64,ZZ_Linear,0.534375,0.07071848319376667,0.5452278367487347,0.5765625,0.49375,0.575,0.50625,45.65,0.00462238047657645,1856.5039732614182
4542,16,Custom_Domain,0.5875,0.18660254037844387,0.47000000000000003,,0.7,0.475,0.3,12.0,0.15971101439094,21.757513589623965
