Feature_Map,i,j,Sample_ID_i,Sample_ID_j,Optimisation_Level,Target_2Q_Gate,Valid_H2,P0000_Qiskit,P0000_Compiled,Equivalence_Error,Compiled_Total_Gates,Compiled_1Q_Gates,Compiled_2Q_Gates,Compiled_ZZPhase,Compiled_ZZMax,Compiled_TK2,Compiled_Depth,Compiled_2Q_Depth
ZZ_Linear,6,10,WP_0376,WP_0579,2,ZZPhase,True,0.04663819944160193,0.0466381994416024,4.718447854656915e-16,19,14,5,5,0,0,10,5
ZZ_Linear,6,11,WP_0376,WP_1409,2,ZZPhase,True,0.17266950549343238,0.17266950549343177,6.106226635438361e-16,20,15,5,5,0,0,9,5
ZZ_Linear,6,12,WP_0376,WP_1720,2,ZZPhase,True,0.0045288663395596776,0.004528866339559491,1.8648277366750676e-16,22,17,5,5,0,0,11,5
ZZ_Linear,6,13,WP_0376,WP_0101,2,ZZPhase,True,0.0475226121256203,0.04752261212562043,1.3183898417423734e-16,20,15,5,5,0,0,11,5
ZZ_Linear,6,14,WP_0376,WP_1458,2,ZZPhase,True,0.01172600730686993,0.011726007306869969,3.8163916471489756e-17,22,17,5,5,0,0,11,5
ZZ_Linear,6,15,WP_0376,WP_1713,2,ZZPhase,True,0.18962918846483748,0.18962918846484014,2.6645352591003757e-15,21,16,5,5,0,0,10,5
ZZ_Linear,7,8,WP_1377,WP_0829,2,ZZPhase,True,0.06221954913432316,0.06221954913432348,3.191891195797325e-16,17,12,5,5,0,0,8,5
ZZ_Linear,7,9,WP_1377,WP_0433,2,ZZPhase,True,0.6972286767293367,0.6972286767293372,4.440892098500626e-16,22,17,5,5,0,0,11,5
ZZ_Linear,7,10,WP_1377,WP_0579,2,ZZPhase,True,0.06356973944448584,0.06356973944448575,8.326672684688674e-17,19,14,5,5,0,0,9,5
ZZ_Linear,7,11,WP_1377,WP_1409,2,ZZPhase,True,0.0641086628884617,0.06410866288846251,8.049116928532385e-16,18,13,5,5,0,0,8,5
ZZ_Linear,7,12,WP_1377,WP_1720,2,ZZPhase,True,0.004470977115653456,0.004470977115653301,1.5439038936193583e-16,18,13,5,5,0,0,8,5
ZZ_Linear,7,13,WP_1377,WP_0101,2,ZZPhase,True,0.08373882396330926,0.08373882396330926,0.0,20,15,5,5,0,0,10,5
ZZ_Linear,7,14,WP_1377,WP_1458,2,ZZPhase,True,0.014934633399758642,0.014934633399758703,6.071532165918825e-17,20,15,5,5,0,0,10,5
ZZ_Linear,7,15,WP_1377,WP_1713,2,ZZPhase,True,0.1394895014851126,0.13948950148511235,2.498001805406602e-16,21,16,5,5,0,0,11,5
ZZ_Linear,8,9,WP_0829,WP_0433,2,ZZPhase,True,0.08728438013437947,0.08728438013438067,1.1934897514720433e-15,19,14,5,5,0,0,9,5
ZZ_Linear,8,10,WP_0829,WP_0579,2,ZZPhase,True,0.0076206598306246005,0.0076206598306243385,2.6194324487249787e-16,18,13,5,5,0,0,9,5
ZZ_Linear,8,11,WP_0829,WP_1409,2,ZZPhase,True,0.05736370463802305,0.05736370463802283,2.220446049250313e-16,19,14,5,5,0,0,8,5
ZZ_Linear,8,12,WP_0829,WP_1720,2,ZZPhase,True,0.0033676233064309324,0.0033676233064309944,6.201636426617085e-17,19,14,5,5,0,0,8,5
ZZ_Linear,8,13,WP_0829,WP_0101,2,ZZPhase,True,0.005530902497824624,0.0055309024978246815,5.724587470723463e-17,19,14,5,5,0,0,10,5
ZZ_Linear,8,14,WP_0829,WP_1458,2,ZZPhase,True,0.01709858776500326,0.01709858776500333,6.938893903907228e-17,21,16,5,5,0,0,10,5
ZZ_Linear,8,15,WP_0829,WP_1713,2,ZZPhase,True,0.6130976411818235,0.6130976411818224,1.1102230246251565e-15,20,15,5,5,0,0,9,5
ZZ_Linear,9,10,WP_0433,WP_0579,2,ZZPhase,True,0.06079890382729696,0.06079890382729663,3.3306690738754696e-16,20,15,5,5,0,0,10,5
ZZ_Linear,9,11,WP_0433,WP_1409,2,ZZPhase,True,0.016462802027867488,0.01646280202786835,8.604228440844963e-16,19,14,5,5,0,0,9,5
ZZ_Linear,9,12,WP_0433,WP_1720,2,ZZPhase,True,0.0004886713049092139,0.0004886713049091914,2.2442984970449942e-17,19,14,5,5,0,0,9,5
ZZ_Linear,9,13,WP_0433,WP_0101,2,ZZPhase,True,0.02506022870281713,0.025060228702817103,2.7755575615628914e-17,21,16,5,5,0,0,11,5
ZZ_Linear,9,14,WP_0433,WP_1458,2,ZZPhase,True,0.0013511452867547046,0.0013511452867546964,8.239936510889834e-18,21,16,5,5,0,0,11,5
ZZ_Linear,9,15,WP_0433,WP_1713,2,ZZPhase,True,0.12333070805579387,0.12333070805579367,1.942890293094024e-16,20,15,5,5,0,0,10,5
ZZ_Linear,10,11,WP_0579,WP_1409,2,ZZPhase,True,0.11160767022312348,0.11160767022312441,9.298117831235686e-16,20,15,5,5,0,0,10,5
ZZ_Linear,10,12,WP_0579,WP_1720,2,ZZPhase,True,0.031296237980348036,0.03129623798034843,3.95516952522712e-16,20,15,5,5,0,0,10,5
ZZ_Linear,10,13,WP_0579,WP_0101,2,ZZPhase,True,0.03676201383730893,0.036762013837309176,2.498001805406602e-16,20,15,5,5,0,0,10,5
ZZ_Linear,10,14,WP_0579,WP_1458,2,ZZPhase,True,0.007534127947561595,0.007534127947561545,5.0306980803327406e-17,22,17,5,5,0,0,12,5
ZZ_Linear,10,15,WP_0579,WP_1713,2,ZZPhase,True,0.17456948774883246,0.17456948774883232,1.3877787807814457e-16,21,16,5,5,0,0,11,5
ZZ_Linear,11,12,WP_1409,WP_1720,2,ZZPhase,True,0.0016808341124048044,0.0016808341124048317,2.7321894746634712e-17,19,14,5,5,0,0,10,5
ZZ_Linear,11,13,WP_1409,WP_0101,2,ZZPhase,True,0.015332436296537655,0.015332436296537697,4.163336342344337e-17,21,16,5,5,0,0,10,5
ZZ_Linear,11,14,WP_1409,WP_1458,2,ZZPhase,True,0.002296976750665481,0.0022969767506655237,4.2500725161431774e-17,19,14,5,5,0,0,10,5
ZZ_Linear,11,15,WP_1409,WP_1713,2,ZZPhase,True,0.02757332962108381,0.027573329621083872,6.245004513516506e-17,20,15,5,5,0,0,11,5
ZZ_Linear,12,13,WP_1720,WP_0101,2,ZZPhase,True,0.08104529590941527,0.08104529590941509,1.8041124150158794e-16,21,16,5,5,0,0,10,5
ZZ_Linear,12,14,WP_1720,WP_1458,2,ZZPhase,True,0.02522774342782015,0.025227743427819437,7.147060721024445e-16,19,14,5,5,0,0,10,5
ZZ_Linear,12,15,WP_1720,WP_1713,2,ZZPhase,True,0.036538410101096735,0.03653841010109684,1.0408340855860843e-16,20,15,5,5,0,0,11,5
ZZ_Linear,13,14,WP_0101,WP_1458,2,ZZPhase,True,0.09792084511511999,0.09792084511512013,1.3877787807814457e-16,22,17,5,5,0,0,12,5
ZZ_Linear,13,15,WP_0101,WP_1713,2,ZZPhase,True,0.02046627194359435,0.02046627194359439,4.163336342344337e-17,21,16,5,5,0,0,11,5
ZZ_Linear,14,15,WP_1458,WP_1713,2,ZZPhase,True,0.05745113972264079,0.05745113972264065,1.457167719820518e-16,22,17,5,5,0,0,12,5
Custom_Domain,0,1,WP_0977,WP_1851,2,ZZPhase,True,0.20602847792130086,0.20602847792130585,4.9960036108132044e-15,20,15,5,5,0,0,10,5
Custom_Domain,0,2,WP_0977,WP_0061,2,ZZPhase,True,0.3114911946995836,0.311491194699591,7.438494264988549e-15,20,15,5,5,0,0,10,5
Custom_Domain,0,3,WP_0977,WP_1896,2,ZZPhase,True,0.352298023874104,0.35229802387410813,4.107825191113079e-15,21,16,5,5,0,0,10,5
Custom_Domain,0,4,WP_0977,WP_1242,2,ZZPhase,True,0.25249251468427436,0.25249251468428197,7.605027718682322e-15,20,15,5,5,0,0,10,5
Custom_Domain,0,5,WP_0977,WP_0970,2,ZZPhase,True,0.12670904613432812,0.12670904613433115,3.0253577421035516e-15,20,15,5,5,0,0,10,5
Custom_Domain,0,6,WP_0977,WP_0376,2,ZZPhase,True,0.3122876407689764,0.3122876407689818,5.384581669432009e-15,21,16,5,5,0,0,10,5
Custom_Domain,0,7,WP_0977,WP_1377,2,ZZPhase,True,0.30575349381052497,0.3057534938105288,3.83026943495679e-15,22,17,5,5,0,0,11,5
Custom_Domain,0,8,WP_0977,WP_0829,2,ZZPhase,True,0.08791864195984316,0.0879186419598446,1.4432899320127035e-15,21,16,5,5,0,0,11,5
Custom_Domain,0,9,WP_0977,WP_0433,2,ZZPhase,True,0.3770117938169951,0.37701179381699496,1.6653345369377348e-16,21,16,5,5,0,0,11,5
Custom_Domain,0,10,WP_0977,WP_0579,2,ZZPhase,True,0.07522246427397676,0.0752224642739774,6.38378239159465e-16,19,14,5,5,0,0,10,5
Custom_Domain,0,11,WP_0977,WP_1409,2,ZZPhase,True,0.19042844172602344,0.1904284417260233,1.3877787807814457e-16,20,15,5,5,0,0,9,5
Custom_Domain,0,12,WP_0977,WP_1720,2,ZZPhase,True,0.23535047236035023,0.23535047236034998,2.498001805406602e-16,21,16,5,5,0,0,11,5
Custom_Domain,0,13,WP_0977,WP_0101,2,ZZPhase,True,0.08663754029408256,0.08663754029408416,1.5959455978986625e-15,23,18,5,5,0,0,12,5
Custom_Domain,0,14,WP_0977,WP_1458,2,ZZPhase,True,0.03130658442575872,0.031306584425758184,5.342948306008566e-16,19,14,5,5,0,0,9,5
Custom_Domain,0,15,WP_0977,WP_1713,2,ZZPhase,True,0.14938893032547731,0.14938893032547854,1.2212453270876722e-15,20,15,5,5,0,0,11,5
Custom_Domain,1,2,WP_1851,WP_0061,2,ZZPhase,True,0.41445602014257893,0.41445602014257976,8.326672684688674e-16,18,13,5,5,0,0,9,5
Custom_Domain,1,3,WP_1851,WP_1896,2,ZZPhase,True,0.46497469938736996,0.4649746993873675,2.4424906541753444e-15,21,16,5,5,0,0,11,5
Custom_Domain,1,4,WP_1851,WP_1242,2,ZZPhase,True,0.1766639838911073,0.17666398389110896,1.6653345369377348e-15,20,15,5,5,0,0,9,5
Custom_Domain,1,5,WP_1851,WP_0970,2,ZZPhase,True,0.13456697417418198,0.13456697417418217,1.942890293094024e-16,20,15,5,5,0,0,9,5
Custom_Domain,1,6,WP_1851,WP_0376,2,ZZPhase,True,0.3821531082064609,0.3821531082064609,0.0,19,14,5,5,0,0,9,5
Custom_Domain,1,7,WP_1851,WP_1377,2,ZZPhase,True,0.31594959784325494,0.3159495978432542,7.216449660063518e-16,18,13,5,5,0,0,8,5
Custom_Domain,1,8,WP_1851,WP_0829,2,ZZPhase,True,0.006572655437770243,0.006572655437770558,3.148523108897905e-16,21,16,5,5,0,0,10,5
Custom_Domain,1,9,WP_1851,WP_0433,2,ZZPhase,True,0.31427093475662027,0.3142709347566225,2.220446049250313e-15,21,16,5,5,0,0,10,5
Custom_Domain,1,10,WP_1851,WP_0579,2,ZZPhase,True,0.17993933156729333,0.17993933156729489,1.5543122344752192e-15,21,16,5,5,0,0,11,5
Custom_Domain,1,11,WP_1851,WP_1409,2,ZZPhase,True,0.03138192489610712,0.031381924896105994,1.124100812432971e-15,18,13,5,5,0,0,8,5
Custom_Domain,1,12,WP_1851,WP_1720,2,ZZPhase,True,0.002602500663864492,0.002602500663864736,2.441623292437356e-16,19,14,5,5,0,0,10,5
Custom_Domain,1,13,WP_1851,WP_0101,2,ZZPhase,True,0.04970238737847799,0.04970238737847771,2.8449465006019636e-16,21,16,5,5,0,0,11,5
Custom_Domain,1,14,WP_1851,WP_1458,2,ZZPhase,True,0.041880355709716946,0.0418803557097164,5.48172618408671e-16,19,14,5,5,0,0,8,5
Custom_Domain,1,15,WP_1851,WP_1713,2,ZZPhase,True,0.05729192660645335,0.05729192660645351,1.5959455978986625e-16,20,15,5,5,0,0,10,5
Custom_Domain,2,3,WP_0061,WP_1896,2,ZZPhase,True,0.53645361775712,0.5364536177571199,1.1102230246251565e-16,21,16,5,5,0,0,10,5
Custom_Domain,2,4,WP_0061,WP_1242,2,ZZPhase,True,0.5421318251410319,0.5421318251410325,6.661338147750939e-16,20,15,5,5,0,0,10,5
Custom_Domain,2,5,WP_0061,WP_0970,2,ZZPhase,True,0.48443840551751305,0.4844384055175141,1.0547118733938987e-15,18,13,5,5,0,0,8,5
Custom_Domain,2,6,WP_0061,WP_0376,2,ZZPhase,True,0.6143486092489773,0.6143486092489785,1.2212453270876722e-15,19,14,5,5,0,0,8,5
Custom_Domain,2,7,WP_0061,WP_1377,2,ZZPhase,True,0.5197312553633108,0.5197312553633133,2.55351295663786e-15,20,15,5,5,0,0,9,5
Custom_Domain,2,8,WP_0061,WP_0829,2,ZZPhase,True,0.1603870963441966,0.16038709634419623,3.608224830031759e-16,19,14,5,5,0,0,9,5
Custom_Domain,2,9,WP_0061,WP_0433,2,ZZPhase,True,0.32539563234779234,0.3253956323477931,7.771561172376096e-16,21,16,5,5,0,0,11,5
Custom_Domain,2,10,WP_0061,WP_0579,2,ZZPhase,True,0.23171063721788776,0.2317106372178885,7.494005416219807e-16,19,14,5,5,0,0,10,5
Custom_Domain,2,11,WP_0061,WP_1409,2,ZZPhase,True,0.33606191301412586,0.3360619130141242,1.6653345369377348e-15,20,15,5,5,0,0,9,5
Custom_Domain,2,12,WP_0061,WP_1720,2,ZZPhase,True,0.11704017240706885,0.11704017240706843,4.163336342344337e-16,19,14,5,5,0,0,9,5
Custom_Domain,2,13,WP_0061,WP_0101,2,ZZPhase,True,0.40235946074870865,0.4023594607487084,2.7755575615628914e-16,21,16,5,5,0,0,10,5
Custom_Domain,2,14,WP_0061,WP_1458,2,ZZPhase,True,0.07963301906624078,0.07963301906624078,0.0,19,14,5,5,0,0,9,5
Custom_Domain,2,15,WP_0061,WP_1713,2,ZZPhase,True,0.3156164594022686,0.3156164594022695,8.881784197001252e-16,20,15,5,5,0,0,11,5
Custom_Domain,3,4,WP_1896,WP_1242,2,ZZPhase,True,0.31815383415361415,0.31815383415361415,0.0,21,16,5,5,0,0,12,5
Custom_Domain,3,5,WP_1896,WP_0970,2,ZZPhase,True,0.2961038846002647,0.2961038846002647,0.0,19,14,5,5,0,0,10,5
