Shots,Repetition,Random_Seed,Split_Number,Train_Lambda_Min,Negative_Eigenvalues,PSD_Raw,Prediction_Change_Rate,Exact_BA,Shot_BA,Delta_BA,Exact_MCC,Shot_MCC,Delta_MCC,Exact_F1,Shot_F1,Delta_F1,Exact_Specificity,Shot_Specificity,Delta_Specificity,Exact_Unsafe_Acceptance,Shot_Unsafe_Acceptance,Delta_Unsafe_Acceptance
256,10,25614527,3,0.12969458417243893,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1024,1,102405527,3,0.15454756977989287,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
1024,2,102406527,3,0.16836622915823324,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
1024,3,102407527,3,0.16469088832860268,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1024,4,102408527,3,0.16295077646948317,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1024,5,102409527,3,0.17619178258933466,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1024,6,102410527,3,0.1639036970222365,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.8,0.0,0.5,0.5,0.0,0.5,0.5,0.0
1024,7,102411527,3,0.13877660200593708,0,True,0.25,0.75,0.5,-0.25,0.5773502691896258,0.0,-0.5773502691896258,0.8,0.5,-0.30000000000000004,0.5,0.5,0.0,0.5,0.5,0.0
1024,8,102412527,3,0.14692535012582225,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
1024,9,102413527,3,0.16581697523954905,0,True,0.25,0.75,1.0,0.25,0.5773502691896258,1.0,0.42264973081037416,0.8,1.0,0.19999999999999996,0.5,1.0,0.5,0.5,0.0,-0.5
1024,10,102414527,3,0.17725437972087707,0,True,0.5,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.8,0.6666666666666666,-0.13333333333333341,0.5,1.0,0.5,0.5,0.0,-0.5
256,1,25605528,4,0.11350639791263772,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,2,25606528,4,0.08217819983648897,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,3,25607528,4,0.08018663603748746,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,4,25608528,4,0.12202099033963924,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,5,25609528,4,0.09714308916441418,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,6,25610528,4,0.09687610541515383,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,7,25611528,4,0.08978703910152938,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,8,25612528,4,0.08910060568859772,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,9,25613528,4,0.06968098209255669,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,10,25614528,4,0.11125364671801663,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,1,102405528,4,0.09911656198910015,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,2,102406528,4,0.10118482529631466,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,3,102407528,4,0.11630829848558903,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,4,102408528,4,0.11090478880339187,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,5,102409528,4,0.10090595982873082,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,6,102410528,4,0.09384527910049714,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,7,102411528,4,0.10141777381074861,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,8,102412528,4,0.10700869298738881,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,9,102413528,4,0.09260516399817453,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1024,10,102414528,4,0.1535197953668569,0,True,0.0,0.75,0.75,0.0,0.5773502691896258,0.5773502691896258,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,1,25605529,5,0.2536432830826871,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,2,25606529,5,0.18973478474235972,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,3,25607529,5,0.2449987316701006,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,4,25608529,5,0.20169832244500935,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,5,25609529,5,0.19165884871818337,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,6,25610529,5,0.2448255826771663,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,7,25611529,5,0.23914108276616913,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,8,25612529,5,0.21665736225752635,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
256,9,25613529,5,0.24063600062813323,0,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
