map,kernel_mode,outer_fold,inner_fold,C,f1,balanced_accuracy,mcc
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,1,1.0,0.43478260869565216,0.38636363636363635,-0.2337367475021143
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,1,10.0,0.36363636363636365,0.33636363636363636,-0.3302891295379082
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,2,1.0,0.5217391304347826,0.4727272727272727,-0.05504818825631803
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0,2,10.0,0.5217391304347826,0.4727272727272727,-0.05504818825631803
pauli_XZ_XXZZ_linear_r1_robust,raw,1,0,0.1,0.25,0.4545454545454546,-0.10846522890932808
pauli_XZ_XXZZ_linear_r1_robust,raw,1,0,1.0,0.23529411764705882,0.40909090909090906,-0.2041241452319315
pauli_XZ_XXZZ_linear_r1_robust,raw,1,0,10.0,0.23529411764705882,0.40909090909090906,-0.2041241452319315
pauli_XZ_XXZZ_linear_r1_robust,raw,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,1,1,1.0,0.5925925925925926,0.49090909090909096,-0.023124864503144014
pauli_XZ_XXZZ_linear_r1_robust,raw,1,1,10.0,0.6153846153846154,0.5363636363636364,0.08528028654224416
pauli_XZ_XXZZ_linear_r1_robust,raw,1,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,1,2,1.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_XZ_XXZZ_linear_r1_robust,raw,1,2,10.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,0,0.1,0.25,0.4545454545454546,-0.10846522890932808
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,0,1.0,0.23529411764705882,0.40909090909090906,-0.2041241452319315
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,0,10.0,0.23529411764705882,0.40909090909090906,-0.2041241452319315
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,1,1.0,0.5925925925925926,0.49090909090909096,-0.023124864503144014
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,1,10.0,0.5925925925925926,0.49090909090909096,-0.023124864503144014
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,2,1.0,0.4,0.4318181818181818,-0.13762047064079508
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,1,2,10.0,0.38095238095238093,0.38181818181818183,-0.23636363636363636
pauli_XZ_XXZZ_linear_r1_robust,raw,2,0,0.1,0.5263157894736842,0.5909090909090909,0.18898223650461363
pauli_XZ_XXZZ_linear_r1_robust,raw,2,0,1.0,0.6363636363636364,0.6363636363636364,0.2727272727272727
pauli_XZ_XXZZ_linear_r1_robust,raw,2,0,10.0,0.6956521739130435,0.6818181818181819,0.3651483716701107
pauli_XZ_XXZZ_linear_r1_robust,raw,2,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,2,1,1.0,0.43478260869565216,0.38636363636363635,-0.2337367475021143
pauli_XZ_XXZZ_linear_r1_robust,raw,2,1,10.0,0.43478260869565216,0.38636363636363635,-0.2337367475021143
pauli_XZ_XXZZ_linear_r1_robust,raw,2,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,2,2,1.0,0.56,0.46818181818181814,-0.06741998624632421
pauli_XZ_XXZZ_linear_r1_robust,raw,2,2,10.0,0.43478260869565216,0.37727272727272726,-0.24771684715343112
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,0,0.1,0.6,0.6363636363636364,0.2773500981126146
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,0,1.0,0.6363636363636364,0.6363636363636364,0.2727272727272727
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,0,10.0,0.6956521739130435,0.6818181818181819,0.3651483716701107
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,1,1.0,0.45454545454545453,0.4318181818181818,-0.13762047064079508
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,1,10.0,0.43478260869565216,0.38636363636363635,-0.2337367475021143
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,2,0.1,0.0,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,2,1.0,0.43478260869565216,0.37727272727272726,-0.24771684715343112
pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,2,2,10.0,0.43478260869565216,0.37727272727272726,-0.24771684715343112
pauli_XZ_XXZZ_linear_r1_robust,raw,3,0,0.1,0.5,0.5454545454545454,0.09245003270420485
pauli_XZ_XXZZ_linear_r1_robust,raw,3,0,1.0,0.5217391304347826,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,3,0,10.0,0.5833333333333334,0.5454545454545454,0.09245003270420485
pauli_XZ_XXZZ_linear_r1_robust,raw,3,1,0.1,0.6451612903225806,0.5,0.0
pauli_XZ_XXZZ_linear_r1_robust,raw,3,1,1.0,0.4,0.42727272727272725,-0.14545454545454545
