feature_set,fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
chem5_prev,1,0.1,auto,2096,524,0.6240458015267175,0.5217391304347826,0.4682926829268293,0.493573264781491,0.7241379310344828,0.5962153069806561,0.19674244648978434,231,88,109,96
chem5_prev,2,0.1,auto,2096,524,0.6526717557251909,0.5523809523809524,0.5686274509803921,0.5603864734299517,0.70625,0.6374387254901961,0.2734983535864529,226,94,88,116
chem5_prev,3,0.1,auto,2096,524,0.6316793893129771,0.5242290748898678,0.5833333333333334,0.5522041763341067,0.6625,0.6229166666666667,0.24190212839235484,212,108,85,119
chem5_prev,4,0.1,auto,2096,524,0.6164122137404581,0.5084745762711864,0.4411764705882353,0.47244094488188976,0.728125,0.5846507352941177,0.17454179292090616,233,87,114,90
chem5_prev,0,0.1,0.01,2096,524,0.6068702290076335,0.4935064935064935,0.18536585365853658,0.2695035460992908,0.877742946708464,0.5315544001835003,0.08698874648487284,280,39,167,38
chem5_prev,1,0.1,0.01,2096,524,0.6202290076335878,0.6666666666666666,0.05853658536585366,0.10762331838565023,0.9811912225705329,0.5198639039681933,0.10645237708907807,313,6,193,12
chem5_prev,2,0.1,0.01,2096,524,0.6354961832061069,0.7407407407407407,0.09803921568627451,0.17316017316017315,0.978125,0.5380821078431373,0.1679890486620765,313,7,184,20
chem5_prev,3,0.1,0.01,2096,524,0.6431297709923665,0.717948717948718,0.13725490196078433,0.23045267489711935,0.965625,0.5514399509803921,0.1911249750730554,309,11,176,28
chem5_prev,4,0.1,0.01,2096,524,0.6297709923664122,0.75,0.07352941176470588,0.13392857142857142,0.984375,0.5289522058823529,0.14735723399875794,315,5,189,15
chem5_prev,0,1.0,scale,2096,524,0.6374045801526718,0.5352112676056338,0.5560975609756098,0.5454545454545454,0.6896551724137931,0.6228763666947015,0.244174683132284,220,99,91,114
chem5_prev,1,1.0,scale,2096,524,0.6316793893129771,0.532967032967033,0.47317073170731705,0.5012919896640827,0.7335423197492164,0.6033565257282667,0.21188071169229727,234,85,108,97
chem5_prev,2,1.0,scale,2096,524,0.6412213740458015,0.5327868852459017,0.6372549019607843,0.5803571428571429,0.64375,0.6405024509803922,0.2746818982423546,206,114,74,130
chem5_prev,3,1.0,scale,2096,524,0.6526717557251909,0.5482456140350878,0.6127450980392157,0.5787037037037037,0.678125,0.6454350490196079,0.2860723418009676,217,103,79,125
chem5_prev,4,1.0,scale,2096,524,0.6545801526717557,0.5621621621621622,0.5098039215686274,0.5347043701799485,0.746875,0.6283394607843137,0.26187531669198694,239,81,100,104
chem5_prev,0,1.0,auto,2096,524,0.6393129770992366,0.5373831775700935,0.5609756097560976,0.548926014319809,0.6896551724137931,0.6253153910849454,0.24883928679100456,220,99,90,115
chem5_prev,1,1.0,auto,2096,524,0.6335877862595419,0.5351351351351351,0.48292682926829267,0.5076923076923077,0.7304075235109718,0.6066671763896323,0.21784487807901795,233,86,106,99
chem5_prev,2,1.0,auto,2096,524,0.6431297709923665,0.5349794238683128,0.6372549019607843,0.5816554809843401,0.646875,0.6420649509803922,0.27781181870155125,207,113,74,130
chem5_prev,3,1.0,auto,2096,524,0.6564885496183206,0.5526315789473685,0.6176470588235294,0.5833333333333334,0.68125,0.6494485294117647,0.2939669018970128,218,102,78,126
chem5_prev,4,1.0,auto,2096,524,0.6564885496183206,0.5652173913043478,0.5098039215686274,0.5360824742268041,0.75,0.6299019607843137,0.2653917419424334,240,80,100,104
chem5_prev,0,1.0,0.01,2096,524,0.6240458015267175,0.5526315789473685,0.2048780487804878,0.298932384341637,0.8934169278996865,0.5491474883400872,0.13622530624205806,285,34,163,42
chem5_prev,1,1.0,0.01,2096,524,0.6297709923664122,0.569620253164557,0.21951219512195122,0.31690140845070425,0.8934169278996865,0.5564645615108189,0.15402268021132243,285,34,160,45
chem5_prev,2,1.0,0.01,2096,524,0.6374045801526718,0.609375,0.19117647058823528,0.291044776119403,0.921875,0.5565257352941176,0.16834390074439548,295,25,165,39
chem5_prev,3,1.0,0.01,2096,524,0.6374045801526718,0.5972222222222222,0.2107843137254902,0.3115942028985507,0.909375,0.5600796568627451,0.170181382145257,291,29,161,43
chem5_prev,4,1.0,0.01,2096,524,0.6583969465648855,0.7272727272727273,0.19607843137254902,0.3088803088803089,0.953125,0.5746017156862745,0.2373564937387037,305,15,164,40
chem5_prev,0,10.0,scale,2096,524,0.6202290076335878,0.514018691588785,0.5365853658536586,0.5250596658711217,0.6739811912225705,0.6052832785381146,0.20906143862795198,215,104,95,110
chem5_prev,1,10.0,scale,2096,524,0.6431297709923665,0.5409090909090909,0.5804878048780487,0.56,0.6833855799373041,0.6319366924076764,0.2609274246578968,218,101,86,119
chem5_prev,2,10.0,scale,2096,524,0.6564885496183206,0.5495867768595041,0.6519607843137255,0.5964125560538116,0.659375,0.6556678921568628,0.3044997049942743,211,109,71,133
chem5_prev,3,10.0,scale,2096,524,0.6278625954198473,0.5182186234817814,0.6274509803921569,0.5676274944567627,0.628125,0.6277879901960784,0.24964435326189327,201,119,76,128
