map,map_tag,pair_index,i,j,source_index_i,source_index_j,circuit_name,exact_fidelity,shots
zz_ring_r2_robust,zz-ring-r2,2,0,3,206,2787,tq-pilot32-strict-v1-zz-ring-r2-p0002,0.019374410245142464,4096
zz_ring_r2_robust,zz-ring-r2,3,0,4,206,3034,tq-pilot32-strict-v1-zz-ring-r2-p0003,0.021439126865465105,4096
zz_ring_r2_robust,zz-ring-r2,4,0,5,206,1321,tq-pilot32-strict-v1-zz-ring-r2-p0004,0.04884064132476604,4096
zz_ring_r2_robust,zz-ring-r2,5,0,6,206,802,tq-pilot32-strict-v1-zz-ring-r2-p0005,0.0010180541514610757,4096
zz_ring_r2_robust,zz-ring-r2,6,0,7,206,3138,tq-pilot32-strict-v1-zz-ring-r2-p0006,0.14427315975265814,4096
zz_ring_r2_robust,zz-ring-r2,7,0,8,206,1770,tq-pilot32-strict-v1-zz-ring-r2-p0007,0.03639049292644349,4096
zz_ring_r2_robust,zz-ring-r2,8,0,9,206,2251,tq-pilot32-strict-v1-zz-ring-r2-p0008,0.004527268882399858,4096
zz_ring_r2_robust,zz-ring-r2,9,0,10,206,1579,tq-pilot32-strict-v1-zz-ring-r2-p0009,0.018075184519902004,4096
zz_ring_r2_robust,zz-ring-r2,10,0,11,206,2717,tq-pilot32-strict-v1-zz-ring-r2-p0010,0.0018800842123907952,4096
zz_ring_r2_robust,zz-ring-r2,11,0,12,206,2097,tq-pilot32-strict-v1-zz-ring-r2-p0011,0.11206917595601107,4096
zz_ring_r2_robust,zz-ring-r2,12,0,13,206,1152,tq-pilot32-strict-v1-zz-ring-r2-p0012,0.10807935462861831,4096
zz_ring_r2_robust,zz-ring-r2,13,0,14,206,1775,tq-pilot32-strict-v1-zz-ring-r2-p0013,0.03286954907924895,4096
zz_ring_r2_robust,zz-ring-r2,14,0,15,206,304,tq-pilot32-strict-v1-zz-ring-r2-p0014,0.22619560675717182,4096
zz_ring_r2_robust,zz-ring-r2,15,1,2,1029,1953,tq-pilot32-strict-v1-zz-ring-r2-p0015,0.028782520818070766,4096
zz_ring_r2_robust,zz-ring-r2,16,1,3,1029,2787,tq-pilot32-strict-v1-zz-ring-r2-p0016,0.1115747123966722,4096
zz_ring_r2_robust,zz-ring-r2,17,1,4,1029,3034,tq-pilot32-strict-v1-zz-ring-r2-p0017,0.1377775357416606,4096
zz_ring_r2_robust,zz-ring-r2,18,1,5,1029,1321,tq-pilot32-strict-v1-zz-ring-r2-p0018,0.13142940453665028,4096
zz_ring_r2_robust,zz-ring-r2,19,1,6,1029,802,tq-pilot32-strict-v1-zz-ring-r2-p0019,0.00781090071283552,4096
zz_ring_r2_robust,zz-ring-r2,20,1,7,1029,3138,tq-pilot32-strict-v1-zz-ring-r2-p0020,0.05805530574525502,4096
zz_ring_r2_robust,zz-ring-r2,21,1,8,1029,1770,tq-pilot32-strict-v1-zz-ring-r2-p0021,0.40419996284582893,4096
zz_ring_r2_robust,zz-ring-r2,22,1,9,1029,2251,tq-pilot32-strict-v1-zz-ring-r2-p0022,0.20230817548994554,4096
zz_ring_r2_robust,zz-ring-r2,23,1,10,1029,1579,tq-pilot32-strict-v1-zz-ring-r2-p0023,0.1173053850103278,4096
zz_ring_r2_robust,zz-ring-r2,24,1,11,1029,2717,tq-pilot32-strict-v1-zz-ring-r2-p0024,0.11019042182805118,4096
zz_ring_r2_robust,zz-ring-r2,25,1,12,1029,2097,tq-pilot32-strict-v1-zz-ring-r2-p0025,0.04766758598244296,4096
zz_ring_r2_robust,zz-ring-r2,26,1,13,1029,1152,tq-pilot32-strict-v1-zz-ring-r2-p0026,0.1311519753124655,4096
zz_ring_r2_robust,zz-ring-r2,27,1,14,1029,1775,tq-pilot32-strict-v1-zz-ring-r2-p0027,0.007977019441355333,4096
zz_ring_r2_robust,zz-ring-r2,28,1,15,1029,304,tq-pilot32-strict-v1-zz-ring-r2-p0028,0.01159653570233902,4096
zz_ring_r2_robust,zz-ring-r2,29,2,3,1953,2787,tq-pilot32-strict-v1-zz-ring-r2-p0029,0.0348888068554412,4096
zz_ring_r2_robust,zz-ring-r2,30,2,4,1953,3034,tq-pilot32-strict-v1-zz-ring-r2-p0030,0.08886197918931832,4096
zz_ring_r2_robust,zz-ring-r2,31,2,5,1953,1321,tq-pilot32-strict-v1-zz-ring-r2-p0031,0.028131570249396075,4096
zz_ring_r2_robust,zz-ring-r2,32,2,6,1953,802,tq-pilot32-strict-v1-zz-ring-r2-p0032,0.005093474250062166,4096
zz_ring_r2_robust,zz-ring-r2,33,2,7,1953,3138,tq-pilot32-strict-v1-zz-ring-r2-p0033,0.00916843069676511,4096
zz_ring_r2_robust,zz-ring-r2,34,2,8,1953,1770,tq-pilot32-strict-v1-zz-ring-r2-p0034,0.01530291106086913,4096
zz_ring_r2_robust,zz-ring-r2,35,2,9,1953,2251,tq-pilot32-strict-v1-zz-ring-r2-p0035,0.11709191352932116,4096
zz_ring_r2_robust,zz-ring-r2,36,2,10,1953,1579,tq-pilot32-strict-v1-zz-ring-r2-p0036,0.015668488151191363,4096
zz_ring_r2_robust,zz-ring-r2,37,2,11,1953,2717,tq-pilot32-strict-v1-zz-ring-r2-p0037,0.031202052223303682,4096
zz_ring_r2_robust,zz-ring-r2,38,2,12,1953,2097,tq-pilot32-strict-v1-zz-ring-r2-p0038,0.004695743917987833,4096
zz_ring_r2_robust,zz-ring-r2,39,2,13,1953,1152,tq-pilot32-strict-v1-zz-ring-r2-p0039,0.015094678825706748,4096
zz_ring_r2_robust,zz-ring-r2,40,2,14,1953,1775,tq-pilot32-strict-v1-zz-ring-r2-p0040,0.5277785215007174,4096
zz_ring_r2_robust,zz-ring-r2,41,2,15,1953,304,tq-pilot32-strict-v1-zz-ring-r2-p0041,0.050218455529421904,4096
zz_ring_r2_robust,zz-ring-r2,42,3,4,2787,3034,tq-pilot32-strict-v1-zz-ring-r2-p0042,0.03479695732829259,4096
zz_ring_r2_robust,zz-ring-r2,43,3,5,2787,1321,tq-pilot32-strict-v1-zz-ring-r2-p0043,0.03923793506287266,4096
zz_ring_r2_robust,zz-ring-r2,44,3,6,2787,802,tq-pilot32-strict-v1-zz-ring-r2-p0044,0.09957378144988918,4096
zz_ring_r2_robust,zz-ring-r2,45,3,7,2787,3138,tq-pilot32-strict-v1-zz-ring-r2-p0045,0.0856524498498992,4096
zz_ring_r2_robust,zz-ring-r2,46,3,8,2787,1770,tq-pilot32-strict-v1-zz-ring-r2-p0046,0.07580240541614704,4096
zz_ring_r2_robust,zz-ring-r2,47,3,9,2787,2251,tq-pilot32-strict-v1-zz-ring-r2-p0047,0.07159898742435439,4096
zz_ring_r2_robust,zz-ring-r2,48,3,10,2787,1579,tq-pilot32-strict-v1-zz-ring-r2-p0048,0.03563705571736654,4096
zz_ring_r2_robust,zz-ring-r2,49,3,11,2787,2717,tq-pilot32-strict-v1-zz-ring-r2-p0049,0.021962744757256205,4096
zz_ring_r2_robust,zz-ring-r2,50,3,12,2787,2097,tq-pilot32-strict-v1-zz-ring-r2-p0050,0.017994658800237043,4096
zz_ring_r2_robust,zz-ring-r2,51,3,13,2787,1152,tq-pilot32-strict-v1-zz-ring-r2-p0051,0.12781229094120072,4096
zz_ring_r2_robust,zz-ring-r2,52,3,14,2787,1775,tq-pilot32-strict-v1-zz-ring-r2-p0052,0.03628802232155688,4096
zz_ring_r2_robust,zz-ring-r2,53,3,15,2787,304,tq-pilot32-strict-v1-zz-ring-r2-p0053,0.03249190636796521,4096
