accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,map,group,fold,C,alignment,intra_similarity,inter_similarity,similarity_gap,effective_rank_train,offdiag_mean,offdiag_std,distance_to_identity,distance_to_uniform,state_seconds,kernel_seconds,svc_seconds,total_seconds
0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,3,5,2,6,P_Z_ZZ_r1_linear_a2_minmax,baseline,2,10.0,0.14632500662437273,0.0025983947041167497,0.002427401303299338,0.00017099340081741174,47.95031184260124,0.002511078924975944,0.006166839770699636,0.04564827724977396,0.9870625861010973,0.3481264929999952,0.0343605539999885,0.0018397439999944254,0.38432679099997813
0.375,0.375,0.25,0.125,0.16666666666666666,5,3,7,1,P_Z_ZZ_r1_linear_a2_minmax,baseline,3,0.01,0.1461134859614931,0.0022570461858743536,0.002155242332781365,0.00010180385309298875,47.96059040146431,0.002205061239614104,0.005504537754094536,0.04065248891476301,0.9873615606370177,0.4596330780000244,0.011769073999971624,0.003121563000036076,0.4745237150000321
0.5,0.5,0.5,1.0,0.6666666666666666,0,8,0,8,P_X_XX_r1_linear_a2_minmax,pauli_terms,0,0.01,0.14577619389860003,0.9999999999999831,0.999999999999983,1.1102230246251565e-16,1.0,0.999999999999983,1.1102230246251565e-16,6.855654600400937,1.669867945058637e-14,1.4304673620000017,0.04929204199999049,0.0027830889999904684,1.4825424929999826
0.5,0.5,0.5,1.0,0.6666666666666666,0,8,0,8,P_X_XX_r1_linear_a2_minmax,pauli_terms,1,0.01,0.14595194124769478,0.9999999999999831,0.999999999999983,1.1102230246251565e-16,1.0,0.999999999999983,1.1102230246251565e-16,6.855654600400937,1.669867945058637e-14,2.017537659000027,0.011395044000039434,0.0016134809999925892,2.030546184000059
0.5,0.5,0.5,1.0,0.6666666666666666,0,8,0,8,P_X_XX_r1_linear_a2_minmax,pauli_terms,2,0.01,0.14610525276499023,0.9999999999999831,0.999999999999983,1.1102230246251565e-16,1.0,0.999999999999983,1.1102230246251565e-16,6.855654600400937,1.669867945058637e-14,1.453724104999992,0.007808569999951942,0.0016502540000260524,1.46318292899997
0.5,0.5,0.5,1.0,0.6666666666666666,0,8,0,8,P_X_XX_r1_linear_a2_minmax,pauli_terms,3,0.01,0.1459955664761935,0.9999999999999831,0.999999999999983,1.1102230246251565e-16,1.0,0.999999999999983,1.1102230246251565e-16,6.855654600400937,1.669867945058637e-14,1.2733011509999983,0.07611509899999191,0.0060017740000262165,1.3554180240000164
0.625,0.625,0.6666666666666666,0.5,0.5714285714285714,6,2,4,4,P_Y_YY_r1_linear_a2_minmax,pauli_terms,0,10.0,0.14591978728866178,0.00225055387568125,0.002200609466647223,4.994440903402682e-05,47.95554237427336,0.0022250503476638744,0.005886544005945528,0.04314285249062585,0.987343938860726,1.4839818519999994,0.001068724999981896,0.0016095109999696433,1.486660087999951
0.5625,0.5625,0.5555555555555556,0.625,0.5882352941176471,4,4,3,5,P_Y_YY_r1_linear_a2_minmax,pauli_terms,1,10.0,0.14394017464759626,0.002297259832219992,0.002812452627319246,-0.000515192795099254,47.93989031303239,0.0025603370041855683,0.00685533948373937,0.05016868780005055,0.9870182919915303,0.967951223,0.02398166500000798,0.0016194649999761168,0.9935523529999841
0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,3,5,2,6,P_Y_YY_r1_linear_a2_minmax,pauli_terms,2,10.0,0.14632500662437273,0.00259839470411675,0.002427401303299338,0.00017099340081741217,47.95031184260124,0.002511078924975944,0.0061668397706996355,0.045648277249773946,0.9870625861010973,0.9961185720000003,0.007166692999987845,0.0018398699999693235,1.0051251349999575
0.375,0.375,0.25,0.125,0.16666666666666666,5,3,7,1,P_Y_YY_r1_linear_a2_minmax,pauli_terms,3,0.01,0.1461134859614931,0.0022570461858743536,0.002155242332781365,0.00010180385309298875,47.96059040146429,0.002205061239614104,0.005504537754094536,0.04065248891476301,0.9873615606370177,0.8520924989999799,0.0632232230000227,0.0058765890000245236,0.9211923110000271
0.4375,0.4375,0.45454545454545453,0.625,0.5263157894736842,2,6,3,5,P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,0,0.01,0.13990829763046664,0.028209152209065474,0.027955439135514532,0.0002537130735509423,44.97266484867871,0.02807959659703947,0.049165270458440276,0.3881588792263941,0.9629726678732089,0.6943332079999891,0.0008939190000205599,0.0019327170000451588,0.6971598440000548
0.5,0.5,0.5,0.5,0.5,4,4,4,4,P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,1,1.0,0.15325253869538907,0.028413182361860946,0.02401548327496407,0.0043976990868968766,44.921633307108635,0.026167548785573178,0.0499807653634671,0.38677179737007106,0.9649033073037788,0.9965810779999629,0.0030076850000000377,0.0019503970000300797,1.001539159999993
0.4375,0.4375,0.4,0.25,0.3076923076923077,5,3,6,2,P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,2,0.01,0.14222875499334442,0.027615148615334817,0.026524601738290368,0.0010905468770444487,44.95346062919832,0.02705827361429084,0.049420532780311915,0.3862684867678937,0.9639947875910108,0.6640379099999905,0.000880381000001762,0.0016445429999976113,0.6665628339999898
0.6875,0.6875,0.6666666666666666,0.75,0.7058823529411765,5,3,2,6,P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,3,0.01,0.13707133327730037,0.026819151086135643,0.02719593658259133,-0.0003767854964556866,44.87449758781388,0.027011552190708762,0.05059999031347423,0.39322919482069013,0.9641008688338052,0.6675219790000142,0.006741137999995317,0.0018064159999653384,0.6760695329999749
0.75,0.75,0.75,0.75,0.75,6,2,2,6,P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,0,1.0,0.1459117711542713,0.003660958250380885,0.003605699563249189,5.525868713169603e-05,47.93655030272917,0.0036327410484412953,0.006636313421022998,0.05186675984976097,0.9859556753710229,4.0825062630000275,0.008024126000009346,0.005187876999968921,4.095718266000006
